,Date,Tweets
0,2022-09-25,"ICAO: #A05646
Flt: #UAL945 #UnitedAirlines #FRA-#ORD
First seen: 2022/09/25 09:26:30
Min Alt: 10775 ft MSL
Min Dist: 1.8 km

#planefence #adsb - docker:kx1t/planefence
https://t.co/vlme19HwLd"
1,2022-09-25,secret (classified even) photos of #UnitedAirlines next big order #jet #AmericanAirlines will follow suit a few weeks later https://t.co/pgxrtYqsE7
2,2022-09-25,RT @rabidsq76011965: They create things.😍😍😍😍 #NewAndroidGame #gamedev #mobilegame #browsergames #onlinegame #UnitedAirlines https://t.co/qs…
3,2022-09-25,RT @rabidsq76011965: They create things.😍😍😍😍 #NewAndroidGame #gamedev #mobilegame #browsergames #onlinegame #UnitedAirlines https://t.co/qs…
4,2022-09-25,RT @rabidsq76011965: They create things.😍😍😍😍 #NewAndroidGame #gamedev #mobilegame #browsergames #onlinegame #UnitedAirlines https://t.co/qs…
5,2022-09-25,They create things.😍😍😍😍 #NewAndroidGame #gamedev #mobilegame #browsergames #onlinegame #UnitedAirlines https://t.co/qsL2DbaXoX
6,2022-09-25,"If you like it, you can share it.🎮🎮 #gamedev #UnitedAirlines #loa #online https://t.co/gcPUlLPxSK"
7,2022-09-25,I will also recommend that one.🎮 #ios #NewMobileGame #mobilegame #UnitedAirlines #onlinegames #loa https://t.co/PcGL4pFgTU
8,2022-09-25,Absolutely enjoyable game. #Gameplay #android #NewAndroidGame #UnitedAirlines #browsergames #tRPG https://t.co/nU1HPZf6dc
9,2022-09-25,"Elizabeth E. with #UnitedAirlines single handedly restored my faith in @united, and possibly in humanity. Formerly, not a fan of this airline. Now, I’m a believer!! Give this woman a raise!!!"
10,2022-09-25,RT @Patrick28281100: I guess they will be drawn in the meantime. #gamedev #android #NewGame #UnitedAirlines #onlinegames #リーグオブエンジェルズ https…
11,2022-09-25,I guess they will be drawn in the meantime. #gamedev #android #NewGame #UnitedAirlines #onlinegames #リーグオブエンジェルズ https://t.co/iCh66H66uJ
12,2022-09-25,"ICAO: #A05646
Flt: #UAL944 #UnitedAirlines #ORD-#FRA
First seen: 2022/09/25 05:25:54
Min Alt: 6800 ft MSL
Min Dist: 1.19 km

#planefence #adsb - docker:kx1t/planefence
https://t.co/vlme19HwLd"
13,2022-09-25,"ICAO: A8D465
Flt: UAL2602 #UnitedAirlines #ORD-#MSN
First seen: 2022/09/25 03:15:39
Min Alt: 119 ft AGL
Min Dist: 2.08 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/gB76RWttYT https://t.co/joB03EmTW5"
14,2022-09-25,The heart needs a friend all the time.🙊🙊🙊🙊 #Gameplay #NewAndroidGame #ios #onlinegame #tycoon #UnitedAirlines https://t.co/lYy28L6rRb
15,2022-09-25,@SecretaryPete  #UnitedAirlines you will not refund a ticket for an 80 year old who hit her head and her two physician assistant children and one medical doctor told her not to fly. #pathetic This is the kind of shite that needs to end. #fixthesystem
16,2022-09-25,"ICAO: A43EC9
Flt: UAL1967 #UnitedAirlines #DEN-#MSN
First seen: 2022/09/25 01:39:56
Min Alt: 69 ft AGL
Min Dist: 2.68 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/UbaBbXFZcU https://t.co/iN7aEIqlKe"
17,2022-09-25,RT @skygoflycom: United Airlines to Axe 50 Daily Flights at Newark…About Time a Carrier Stepped Up! https://t.co/w3KQlUwAmi #unitedairlines…
18,2022-09-25,There are live games with friends.  #onlinegames #UnitedAirlines #wewantspring https://t.co/2V3xDCnppG
19,2022-09-25,RT @skygoflycom: United Airlines to Axe 50 Daily Flights at Newark…About Time a Carrier Stepped Up! https://t.co/w3KQlUwAmi #unitedairlines…
20,2022-09-25,Trying out a new game.🤩🤩🤩🤩 #android #ios #NewMobileGame #rpggames #browsergame #UnitedAirlines https://t.co/v4FxsUoDbV
21,2022-09-25,Awesome game! #NewGame #UnitedAirlines #Leagueofangels #onlinegaming https://t.co/zqg3zMi7oG
22,2022-09-24,"#bestAirlines were published today! Congrats to #1Qatar.

I recently flew on #UnitedAirlines
reminded of their flight attendants don’t want to help.

Don’t ask any questions, they get defensive and nasty. They make up policies and are dismissive. We have become a necessary evil!"
23,2022-09-24,"Check out Vintage United Airlines Jr Stewardess Metal Souvenir Wings Pin Junior Kinney
https://t.co/xJDEwJ5gkL
#UnitedAirlines #Stewardess #JuniorStewardess @EBay"
24,2022-09-24,"RT @BreakingVideoHQ: 🚨 BREAKING VIDEO:  United 777 returns safely to Newark Airport following a technical issue, reportedly a problem with…"
25,2022-09-24,Please play it if you can.🤗🤗🤗🤗🤗 #ios #Gameplay #UnitedAirlines #LoAcreativefans #loa https://t.co/dhlVyb3eTi
26,2022-09-24,We have a game! #NewMobileGame #tRPG #fightforhonor #UnitedAirlines https://t.co/aNNrTApIpd
27,2022-09-24,"ICAO: A51B1A
Flt: UAL1945 #UnitedAirlines #SEA-#SFO
First seen: 2022/09/24 20:13:09
Min Alt: 94 ft AGL
Min Dist: 0.87 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/VArhCiTXCp https://t.co/fhwu2nVGHO"
28,2022-09-24,"All excuses need to rearrange luggage, traffic behind us, waiting on final weights, how unprofessional - people on this flight are very unhappy and no excuse @UnitedAirlines_  #unitedairlines"
29,2022-09-24,Please join us for the game. #ios #onlinegame #onlinegames #UnitedAirlines https://t.co/bSjMUBGe0E
30,2022-09-24,"ICAO: A51B1A
Flt: UAL496 #UnitedAirlines #EWR-#SFO
First seen: 2022/09/24 18:55:24
Min Alt: 44 ft AGL
Min Dist: 2.93 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/VArhCiTXCp https://t.co/9Q9HgFTXQQ"
31,2022-09-24,The game was new and it was cute.🤩🤩🤩 #NewGame #NewMobileGame #gamedev #fightforhonor #browsergames #UnitedAirlines https://t.co/0uresI2Pxr
32,2022-09-24,"2022 Girls in Aviation ✈️ #uImpact #unitedAIRLINES @BoysGirlsNewark
@WAICentralFL #waicfl  #GIA22 @cathy_innocenti @mobilizenj @MariaPerdomoEWR @carmina_ual @MaritzaVillafa6 @laxdad99 @rodney20148 @leroyjabari @weareunited #girlpower https://t.co/O2WMzy4Cwh"
33,2022-09-24,"EWR SOC was Happy to welcome the 2022 Girls in Aviation group.  #uImpact #unitedAIRLINES @BoysGirlsNewark
@WAICentralFL #waicfl  #GIA22 @cathy_innocenti @mobilizenj @MariaPerdomoEWR @carmina_ual @MaritzaVillafa6 @laxdad99 @rodney20148 @leroyjabari @weareunited #girlpower https://t.co/mt8tyEy01V"
34,2022-09-24,I like it almost two years later.❤️ #Gameplay #NewMobileGame #tycoon #UnitedAirlines #loa https://t.co/KC1XEv2Hq4
35,2022-09-24,United Airlines and Emirates Enter in to Historic Route Agreement https://t.co/yWPzvvLTDR #unitedairlines https://t.co/TN4hbNUPxT
36,2022-09-24,"RT @AlMehairiAUH: #UnitedAirlines to start partnership with #Emirates on codeshare flights and loyalty program from 1NOV

#InAviation #AVGE…"
37,2022-09-24,"New trip report published featuring the retrofitted @united 757-200!

Click here to watch: https://t.co/twzi2lpU5U

#aviation #boeing757 #avgeeks #unitedairlines #aviationdaily https://t.co/YqqXey70X6"
38,2022-09-24,"#UnitedAirlines to start partnership with #Emirates on codeshare flights and loyalty program from 1NOV

#InAviation #AVGEEK @united @emirates https://t.co/e5Fws7OtVG"
39,2022-09-24,"#UnitedAirlines to start daily #B777-200ER flights from #Newark to #Dubai on 25MAR

#InAviation #AVGEEK @united @EWRairport @DXB https://t.co/wOjERHF63e"
40,2022-09-24,"#UnitedAirlines to start daily #B787-9 flights from #LosAngeles to #Tokyo Haneda on 29OCT

#InAviation #AVGEEK @united @flyLAXairport @Haneda_official https://t.co/NVxaBGLaIP"
41,2022-09-24,I want to draw characters with different looks.😍😍😍😍 #android #gamedev #UnitedAirlines #onlinegames #リーグオブエンジェルズ https://t.co/GFJ0QWek4a
42,2022-09-24,"#UnitedAirlines started 3xweekly #B737 flights from #Saipan to #Tokyo Narita on 2SEP

#InAviation #AVGEEK @united @Narita_OPC_info https://t.co/0HfyzNkLFP"
43,2022-09-24,"#UnitedAirlines grounded 25 #B777-200/200ER 

#InAviation #AVGEEK @united @BoeingAirplanes https://t.co/IVLUHA3xRw"
44,2022-09-24,"#UnitedAirlines to leave #NewYork JFK  if it’s not granted extra slots by 31OCT, the airline operate 2xdaily each to Los Angeles and San Francisco

#InAviation #AVGEEK @united @JFKairport https://t.co/Jkp6GW5lQm"
45,2022-09-24,"#UnitedAirlines is shadiest #airline ever - buy two tickets on their #flight and they seat you and your partner SEPARATELY, to force you to buy a more expensive seat. Flying @united is a #scam every time. Wish #NJ senators @CoryBooker and @BobMenendezNJ do something on this"
46,2022-09-24,There is still fun with the pencil.🙈🙈🙈🙈 #NewAndroidGame #gamedev #Easter #UnitedAirlines #リーグオブエンジェルズ https://t.co/ZnlJvtR2yn
47,2022-09-24,This is a full character.🤔🤔 #mobilegame #rpg #UnitedAirlines #Easter https://t.co/QShon0rWW8
48,2022-09-24,"ICAO: AA568E
Flt: UAL506 #UnitedAirlines #MSN-#DEN
First seen: 2022/09/24 13:23:58
Min Alt: 19 ft AGL
Min Dist: 0.95 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/vJUf4VwlHm https://t.co/g85UjdDUkD"
49,2022-09-24,play a good game #gamedev #gamedesign #UnitedAirlines #リーグオブエンジェルズ #browsergame https://t.co/BscT8loLga
50,2022-09-24,"ICAO: A8856D
Flt: UAL2116 #UnitedAirlines #IAH-#SFO
First seen: 2022/09/24 11:53:43
Min Alt: -6 ft AGL
Min Dist: 1.47 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/izOKZiADBT https://t.co/65MM3PZDHm"
51,2022-09-24,"RT @RadarBox24: Data for this flight is available at:
https://t.co/RXnumohVYQ &amp; 

📰:https://t.co/lTvYdtZTw6 

#UnitedAirlines #UA149 #Emerg…"
52,2022-09-24,New United Airlines claim. Were you on flight UA935 on 23rd September 2022 from London Heathrow Airport to Los Angeles  Airport? If so you are due compensation! #flight  #flightdelay #LosAngeles #London #UnitedAirlines Claim Now: https://t.co/XPcVjySgoP https://t.co/vELBWZx7hY
53,2022-09-24,United Airlines Invests an Additional $15 Million in Electric Flying Taxi Market https://t.co/OSx0wnR6x8 #unitedairlines https://t.co/2f6mY7uKhl
54,2022-09-24,Thanks toRT and likes.🎮🎮🎮 #mobilegame #gamedesign #wewantspring #leagueofangels #UnitedAirlines https://t.co/cvzxXYWzBH
55,2022-09-24,Come back to work.🔥🔥🔥🔥  #Easter #リーグオブエンジェルズ #UnitedAirlines https://t.co/kYRhLhqy5e
56,2022-09-24,"RT @RadarBox24: Data for this flight is available at:
https://t.co/RXnumohVYQ &amp; 

📰:https://t.co/lTvYdtZTw6 

#UnitedAirlines #UA149 #Emerg…"
57,2022-09-24,#UnitedAirlines Hey United - are you going to issue a travel advisory for flights from the west coast of Florida due to the predicted hurricane?
